[2025-10-17 13:37:52.989] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-10-17 13:37:52.989] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-10-17 13:37:53.814] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-10-17 13:37:53.814] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-10-17 13:37:53.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:54.245] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-10-17 13:37:54.246] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-10-17 13:37:54.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:55.097] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-10-17 13:37:55.098] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-10-17 13:37:55.590] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2025-10-17 13:37:55.591] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2025-10-17 13:37:55.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:56.536] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-10-17 13:37:56.537] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":43}
[2025-10-17 13:37:56.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:56.920] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-10-17 13:37:56.920] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":44}
[2025-10-17 13:37:57.364] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-10-17 13:37:57.364] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":45}
[2025-10-17 13:37:57.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:58.282] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-10-17 13:37:58.282] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":46}
[2025-10-17 13:37:58.717] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-10-17 13:37:58.717] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":47}
[2025-10-17 13:37:58.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:37:59.564] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-10-17 13:37:59.565] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":48}
[2025-10-17 13:37:59.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:00.027] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":49}
[2025-10-17 13:38:00.028] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":49}
[2025-10-17 13:38:00.576] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-10-17 13:38:00.576] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":50}
[2025-10-17 13:38:00.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:01.586] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-10-17 13:38:01.586] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":51}
[2025-10-17 13:38:01.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:02.066] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-10-17 13:38:02.067] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":52}
[2025-10-17 13:38:02.905] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:03.163] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":53}
[2025-10-17 13:38:03.163] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":53}
[2025-10-17 13:38:03.652] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-10-17 13:38:03.652] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":54}
[2025-10-17 13:38:03.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:04.643] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-10-17 13:38:04.643] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":55}
[2025-10-17 13:38:04.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:05.181] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-10-17 13:38:05.182] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":56}
[2025-10-17 13:38:05.737] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":57}
[2025-10-17 13:38:05.737] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":57}
[2025-10-17 13:38:05.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:06.739] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-10-17 13:38:06.739] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":58}
[2025-10-17 13:38:06.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:07.209] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-10-17 13:38:07.209] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":59}
[2025-10-17 13:38:07.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:08.162] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2025-10-17 13:38:08.163] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":60}
[2025-10-17 13:38:08.708] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2025-10-17 13:38:08.709] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":61}
[2025-10-17 13:38:08.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:09.280] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-10-17 13:38:09.281] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":62}
[2025-10-17 13:38:09.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:10.323] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2025-10-17 13:38:10.324] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":63}
[2025-10-17 13:38:10.876] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-10-17 13:38:10.877] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":64}
[2025-10-17 13:38:10.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:11.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:12.113] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-10-17 13:38:12.113] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":65}
[2025-10-17 13:38:12.684] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-10-17 13:38:12.685] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":66}
[2025-10-17 13:38:12.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:13.682] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-10-17 13:38:13.683] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":67}
[2025-10-17 13:38:13.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:14.206] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-10-17 13:38:14.206] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":68}
[2025-10-17 13:38:14.773] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-10-17 13:38:14.774] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":69}
[2025-10-17 13:38:14.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:15.904] [info]  Splash.updateCountdownSeconds: undefined
[2025-10-17 13:38:16.103] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
[2025-10-17 13:38:16.104] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":70}
